"","date"
"1",2020-01-21
"2",2020-01-22
"3",2020-01-23
"4",2020-01-24
"5",2020-01-25
"6",2020-01-26
"7",2020-01-27
"8",2020-01-28
"9",2020-01-29
"10",2020-01-30
"11",2020-01-31
"12",2020-02-01
"13",2020-02-02
"14",2020-02-03
"15",2020-02-04
"16",2020-02-05
"17",2020-02-06
"18",2020-02-07
"19",2020-02-08
"20",2020-02-09
"21",2020-02-10
"22",2020-02-11
"23",2020-02-12
"24",2020-02-13
"25",2020-02-14
"26",2020-02-15
"27",2020-02-16
"28",2020-02-17
"29",2020-02-18
"30",2020-02-19
"31",2020-02-20
"32",2020-02-21
"33",2020-02-22
"34",2020-02-23
"35",2020-02-24
"36",2020-02-25
"37",2020-02-26
"38",2020-02-27
"39",2020-02-28
"40",2020-02-29
"41",2020-03-01
"42",2020-03-02
"43",2020-03-03
"44",2020-03-04
"45",2020-03-05
"46",2020-03-06
"47",2020-03-07
"48",2020-03-08
"49",2020-03-09
"50",2020-03-10
"51",2020-03-11
"52",2020-03-12
"53",2020-03-13
"54",2020-03-14
"55",2020-03-15
"56",2020-03-16
"57",2020-03-17
"58",2020-03-18
"59",2020-03-19
"60",2020-03-20
"61",2020-03-21
"62",2020-03-22
"63",2020-03-23
"64",2020-03-24
"65",2020-03-25
"66",2020-03-26
"67",2020-03-27
"68",2020-03-28
"69",2020-03-29
"70",2020-03-30
"71",2020-03-31
"72",2020-04-01
"73",2020-04-02
"74",2020-04-03
"75",2020-04-04
"76",2020-04-05
"77",2020-04-06
"78",2020-04-07
"79",2020-04-08
"80",2020-04-09
"81",2020-04-10
"82",2020-04-11
"83",2020-04-12
"84",2020-04-13
"85",2020-04-14
"86",2020-04-15
"87",2020-04-16
"88",2020-04-17
"89",2020-04-18
"90",2020-04-19
"91",2020-04-20
"92",2020-04-21
"93",2020-04-22
"94",2020-04-23
"95",2020-04-24
"96",2020-04-25
"97",2020-04-26
"98",2020-04-27
